T_ANALF15M,T_ATRASO_2_BASICO,T_FUND18M,AGUA_ESGOTO,T_DENS,T_LIXO,GINI,PPOB,T_FUNDIN18MINF,P_FORMAL,T_DES18M,RAZDEP,IDHM
11.54,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,56.77,0.531
9.9,28.62,31.79,0.0,47.38,98.65,0.45,52.11,48.67,62.27,20.72,49.48,0.577
11.1,25.2,33.61,0.84,41.69,98.7,0.41,47.26,46.54,61.24,20.47,50.34,0.587
9.06,20.78,32.51,1.52,45.98,98.18,0.45,49.0,48.5,62.83,15.76,50.73,0.581
9.21,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,51.36,0.582
8.68,20.37,32.62,0.99,43.18,99.22,0.41,51.77,48.01,62.87,23.46,51.87,0.586
8.13,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,46.36,0.582
6.51,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,44.34,0.582
3.31,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,50.0,0.582
8.49,25.2,33.61,0.84,41.69,98.7,0.41,47.26,46.54,61.24,20.47,46.39,0.587
6.86,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,43.72,0.582
7.3,19.44,43.95,0.39,42.46,98.58,0.48,38.57,40.05,62.24,18.8,49.31,0.649
6.33,15.03,40.95,0.0,35.14,99.89,0.43,37.41,43.38,60.56,18.01,44.9,0.648
5.59,17.02,41.84,0.56,36.77,99.44,0.45,35.51,40.51,59.83,18.93,45.05,0.636
4.29,18.44,50.12,0.16,30.34,99.22,0.46,32.32,36.35,68.58,17.91,43.96,0.684
2.94,11.73,69.11,0.12,18.29,99.65,0.45,13.73,22.98,69.2,13.67,40.96,0.751
3.31,9.01,63.95,0.12,24.71,99.8,0.44,20.2,25.22,69.24,14.93,42.58,0.741
1.78,12.0,65.23,0.46,23.82,99.48,0.48,13.93,25.82,69.7,12.28,45.25,0.759
5.17,20.26,46.0,0.2,34.43,98.34,0.44,29.15,38.36,64.41,18.72,44.34,0.669
6.41,15.67,37.02,0.74,39.73,98.98,0.44,41.14,44.73,63.12,19.38,46.43,0.613
4.32,12.17,50.87,0.0,28.75,99.48,0.46,27.19,34.62,61.85,17.19,42.13,0.681
3.07,14.98,51.36,0.27,29.73,98.01,0.41,24.6,33.16,69.43,17.88,41.72,0.688
10.87,16.49,37.88,0.53,49.75,99.19,0.46,45.97,44.83,56.62,18.13,54.73,0.607
4.37,20.66,52.03,0.83,30.43,99.11,0.46,31.39,33.11,62.83,15.6,41.5,0.676
1.79,13.43,69.69,0.0,15.63,99.78,0.47,10.73,22.17,66.78,13.28,36.97,0.783
3.27,13.85,62.82,0.54,23.8,99.81,0.47,19.08,27.89,64.39,16.07,40.67,0.733
2.99,9.01,63.95,0.12,24.71,99.8,0.44,20.2,25.22,69.24,14.93,39.03,0.741
6.96,20.81,38.6,0.8,42.93,96.82,0.46,41.72,41.79,63.81,21.02,45.59,0.624
12.58,25.18,23.47,6.78,54.27,90.66,0.42,61.07,53.08,60.91,20.97,56.68,0.503
8.49,18.23,36.55,1.06,42.23,98.95,0.45,50.82,43.25,66.77,22.06,55.97,0.596
3.37,10.08,67.21,0.26,15.51,99.6,0.5,15.71,24.44,69.61,15.09,39.77,0.784
8.43,13.56,59.59,0.27,20.93,98.74,0.46,21.15,27.9,68.95,12.95,43.28,0.73
11.13,15.79,40.34,0.94,35.34,96.24,0.46,44.95,40.71,68.0,16.85,46.75,0.634
7.95,15.79,40.34,0.94,35.34,96.24,0.46,44.95,40.71,68.0,16.85,42.39,0.634
11.88,17.02,36.18,1.14,40.74,96.66,0.44,54.62,46.16,61.19,24.23,63.47,0.585
2.15,13.56,59.59,0.27,20.93,98.74,0.46,21.15,27.9,68.95,12.95,40.77,0.73
12.15,19.43,36.65,1.82,39.95,97.29,0.41,46.43,43.29,66.92,19.14,46.36,0.604
7.38,17.02,36.18,1.14,40.74,96.66,0.44,54.62,46.16,61.19,24.23,54.66,0.585
5.05,14.1,51.02,0.29,31.26,98.44,0.45,32.89,35.6,67.62,20.02,49.95,0.675
5.42,13.56,59.59,0.27,20.93,98.74,0.46,21.15,27.9,68.95,12.95,44.32,0.73
3.42,14.1,51.02,0.29,31.26,98.44,0.45,32.89,35.6,67.62,20.02,48.83,0.675
2.79,13.56,59.59,0.27,20.93,98.74,0.46,21.15,27.9,68.95,12.95,40.53,0.73
3.45,13.56,59.59,0.27,20.93,98.74,0.46,21.15,27.9,68.95,12.95,48.38,0.73
17.12,22.88,21.21,5.16,52.74,93.67,0.45,70.21,61.18,53.83,24.43,67.59,0.487
16.41,13.56,59.59,0.27,20.93,98.74,0.46,21.15,27.9,68.95,12.95,54.39,0.73
14.89,17.02,36.18,1.14,40.74,96.66,0.44,54.62,46.16,61.19,24.23,63.0,0.585
15.51,22.88,21.21,5.16,52.74,93.67,0.45,70.21,61.18,53.83,24.43,64.58,0.487
9.76,20.81,38.6,0.8,42.93,96.82,0.46,41.72,41.79,63.81,21.02,53.56,0.624
11.58,18.9,30.35,2.44,48.82,95.92,0.43,64.94,48.53,65.47,24.15,53.64,0.549
9.08,18.9,30.35,2.44,48.82,95.92,0.43,64.94,48.53,65.47,24.15,65.51,0.549
7.98,18.23,36.55,1.06,42.23,98.95,0.45,50.82,43.25,66.77,22.06,54.18,0.596
7.67,20.37,34.11,1.18,43.61,94.81,0.46,54.02,47.2,65.52,22.34,54.02,0.57
4.22,15.79,40.34,0.94,35.34,96.24,0.46,44.95,40.71,68.0,16.85,52.35,0.634
7.07,19.43,36.65,1.82,39.95,97.29,0.41,46.43,43.29,66.92,19.14,50.54,0.604
5.66,18.66,37.69,0.42,39.07,98.91,0.48,42.79,41.76,68.13,20.11,45.48,0.626
2.25,13.56,59.59,0.27,20.93,98.74,0.46,21.15,27.9,68.95,12.95,44.17,0.73
10.63,25.18,23.47,6.78,54.27,90.66,0.42,61.07,53.08,60.91,20.97,62.58,0.503
12.59,25.18,23.47,6.78,54.27,90.66,0.42,61.07,53.08,60.91,20.97,61.99,0.503
4.36,10.52,80.79,0.16,14.79,99.0,0.51,11.5,11.72,74.25,10.55,47.52,0.834
7.08,18.66,37.69,0.42,39.07,98.91,0.48,42.79,41.76,68.13,20.11,50.91,0.626
5.13,14.1,51.02,0.29,31.26,98.44,0.45,32.89,35.6,67.62,20.02,46.53,0.675
8.89,23.5,29.02,3.34,50.73,91.91,0.43,59.68,50.62,60.62,24.05,62.31,0.544
8.26,17.02,36.18,1.14,40.74,96.66,0.44,54.62,46.16,61.19,24.23,54.76,0.585
10.59,13.56,59.59,0.27,20.93,98.74,0.46,21.15,27.9,68.95,12.95,60.03,0.73
11.19,18.49,30.16,3.8,47.65,97.2,0.42,57.84,49.21,61.4,24.61,56.89,0.555
6.92,14.1,51.02,0.29,31.26,98.44,0.45,32.89,35.6,67.62,20.02,47.31,0.675
0.19,13.56,59.59,0.27,20.93,98.74,0.46,21.15,27.9,68.95,12.95,36.98,0.73
3.02,13.56,59.59,0.27,20.93,98.74,0.46,21.15,27.9,68.95,12.95,37.7,0.73
1.39,13.56,59.59,0.27,20.93,98.74,0.46,21.15,27.9,68.95,12.95,51.18,0.73
12.1,26.93,24.61,0.8,47.09,98.45,0.4,61.16,54.27,61.86,26.18,56.59,0.517
8.57,19.43,36.65,1.82,39.95,97.29,0.41,46.43,43.29,66.92,19.14,51.81,0.604
3.11,13.56,59.59,0.27,20.93,98.74,0.46,21.15,27.9,68.95,12.95,45.8,0.73
9.14,25.18,23.47,6.78,54.27,90.66,0.42,61.07,53.08,60.91,20.97,74.37,0.503
8.85,18.9,30.35,2.44,48.82,95.92,0.43,64.94,48.53,65.47,24.15,59.61,0.549
5.92,13.55,44.07,1.79,32.81,98.66,0.47,38.36,39.69,67.4,18.43,51.03,0.661
11.01,18.9,30.35,2.44,48.82,95.92,0.43,64.94,48.53,65.47,24.15,60.16,0.549
9.27,18.49,30.16,3.8,47.65,97.2,0.42,57.84,49.21,61.4,24.61,59.44,0.555
17.29,25.18,23.47,6.78,54.27,90.66,0.42,61.07,53.08,60.91,20.97,52.33,0.503
13.44,22.88,21.21,5.16,52.74,93.67,0.45,70.21,61.18,53.83,24.43,71.22,0.487
6.47,18.23,36.55,1.06,42.23,98.95,0.45,50.82,43.25,66.77,22.06,47.97,0.596
18.14,22.88,21.21,5.16,52.74,93.67,0.45,70.21,61.18,53.83,24.43,70.73,0.487
14.85,17.02,36.18,1.14,40.74,96.66,0.44,54.62,46.16,61.19,24.23,57.94,0.585
13.97,13.56,59.59,0.27,20.93,98.74,0.46,21.15,27.9,68.95,12.95,56.44,0.73
12.47,15.79,40.34,0.94,35.34,96.24,0.46,44.95,40.71,68.0,16.85,52.73,0.634
14.34,25.18,23.47,6.78,54.27,90.66,0.42,61.07,53.08,60.91,20.97,62.41,0.503
15.52,18.9,30.35,2.44,48.82,95.92,0.43,64.94,48.53,65.47,24.15,63.35,0.549
7.03,5.16,90.48,0.28,2.73,99.53,0.5,1.45,5.03,70.12,8.85,45.42,0.913
5.86,18.66,37.69,0.42,39.07,98.91,0.48,42.79,41.76,68.13,20.11,47.26,0.626
0.47,5.16,90.48,0.28,2.73,99.53,0.5,1.45,5.03,70.12,8.85,36.82,0.913
12.18,12.85,76.61,0.08,13.83,99.3,0.5,10.3,17.2,71.69,11.83,54.75,0.806
15.01,16.95,41.06,0.37,36.19,98.06,0.42,40.13,40.88,67.66,18.45,54.66,0.636
6.2,10.89,64.97,0.02,16.33,98.43,0.54,14.75,25.91,68.68,11.93,47.12,0.788
10.77,27.77,20.9,11.29,36.68,64.93,0.51,61.47,60.29,51.73,16.83,59.41,0.534
17.03,16.95,41.06,0.37,36.19,98.06,0.42,40.13,40.88,67.66,18.45,58.04,0.636
5.29,10.63,46.65,0.0,27.66,93.91,0.5,40.78,41.5,63.26,17.8,39.75,0.692
18.42,28.02,17.67,7.69,50.59,47.41,0.46,75.37,61.77,52.8,16.52,61.44,0.485
8.47,10.63,46.65,0.0,27.66,93.91,0.5,40.78,41.5,63.26,17.8,49.39,0.692
11.46,28.02,17.67,7.69,50.59,47.41,0.46,75.37,61.77,52.8,16.52,64.02,0.485
12.76,28.02,17.67,7.69,50.59,47.41,0.46,75.37,61.77,52.8,16.52,62.14,0.485
8.4,10.63,46.65,0.0,27.66,93.91,0.5,40.78,41.5,63.26,17.8,49.51,0.692
5.91,10.63,46.65,0.0,27.66,93.91,0.5,40.78,41.5,63.26,17.8,44.55,0.692
3.55,14.53,52.57,4.26,24.21,92.68,0.62,32.93,35.61,67.32,16.57,45.68,0.716
10.71,20.95,28.63,2.18,34.26,88.36,0.42,53.23,51.55,60.54,11.42,57.0,0.588
9.33,15.41,39.58,3.5,35.27,93.61,0.41,46.41,44.89,63.05,16.63,52.23,0.634
4.37,14.59,59.88,0.49,25.73,96.97,0.48,18.34,29.43,65.98,11.89,42.88,0.735
2.4,13.04,63.5,0.0,22.28,100.0,0.51,15.76,28.01,69.64,15.12,37.79,0.759
1.96,11.73,69.11,0.12,18.29,99.65,0.45,13.73,22.98,69.2,13.67,39.67,0.751
2.18,10.52,80.79,0.16,14.79,99.0,0.51,11.5,11.72,74.25,10.55,39.78,0.834
4.74,14.59,59.88,0.49,25.73,96.97,0.48,18.34,29.43,65.98,11.89,45.1,0.735
11.77,26.75,21.96,0.86,47.9,98.49,0.4,64.69,56.85,58.09,20.17,51.39,0.515
12.97,26.63,28.47,3.71,48.37,94.21,0.45,57.63,51.72,57.98,22.55,56.3,0.537
13.41,25.11,21.28,5.17,52.91,86.13,0.4,71.27,57.36,56.95,21.98,58.2,0.492
8.11,26.75,21.96,0.86,47.9,98.49,0.4,64.69,56.85,58.09,20.17,43.11,0.515
10.94,28.98,28.76,2.63,46.92,93.38,0.43,52.89,51.9,59.71,21.22,53.61,0.536
10.33,26.63,28.47,3.71,48.37,94.21,0.45,57.63,51.72,57.98,22.55,62.64,0.537
15.79,26.75,21.96,0.86,47.9,98.49,0.4,64.69,56.85,58.09,20.17,61.45,0.515
8.07,22.0,31.05,0.67,45.74,97.15,0.42,56.32,47.76,63.39,22.96,58.75,0.556
2.95,19.78,52.76,0.0,25.71,100.0,0.42,16.63,35.14,66.5,17.34,39.45,0.707
8.96,18.86,44.32,0.96,35.55,90.47,0.46,36.14,40.78,61.44,17.44,52.1,0.647
9.79,26.75,21.96,0.86,47.9,98.49,0.4,64.69,56.85,58.09,20.17,49.56,0.515
4.65,19.05,44.82,0.32,29.49,99.86,0.41,26.8,38.33,67.17,15.58,42.16,0.666
3.97,18.86,44.32,0.96,35.55,90.47,0.46,36.14,40.78,61.44,17.44,41.85,0.647
2.79,14.59,59.88,0.49,25.73,96.97,0.48,18.34,29.43,65.98,11.89,40.55,0.735
5.36,18.24,43.52,0.18,31.38,98.02,0.43,37.85,41.12,67.21,17.84,46.59,0.65
3.8,14.7,52.09,0.39,30.39,98.59,0.44,26.25,35.73,69.2,18.1,38.47,0.69
5.98,19.85,43.55,0.52,36.89,95.91,0.43,35.85,38.79,61.51,15.6,48.59,0.632
9.29,22.0,31.05,0.67,45.74,97.15,0.42,56.32,47.76,63.39,22.96,53.97,0.556
5.53,15.4,42.83,0.26,34.65,96.96,0.46,39.48,40.3,63.85,17.07,47.24,0.657
6.88,20.35,37.36,1.21,43.54,94.35,0.43,39.36,42.82,65.95,16.56,47.47,0.612
12.82,26.75,21.96,0.86,47.9,98.49,0.4,64.69,56.85,58.09,20.17,62.48,0.515
14.25,26.75,21.96,0.86,47.9,98.49,0.4,64.69,56.85,58.09,20.17,62.61,0.515
8.61,26.75,21.96,0.86,47.9,98.49,0.4,64.69,56.85,58.09,20.17,62.75,0.515
3.88,17.87,49.68,0.55,29.7,98.77,0.46,30.46,35.88,65.72,15.29,43.4,0.672
2.68,13.08,57.93,0.0,24.61,99.86,0.41,18.73,31.41,66.36,16.88,37.66,0.726
4.24,15.41,55.72,0.0,29.38,98.79,0.44,22.94,31.59,66.96,16.35,40.73,0.707
4.53,14.59,59.88,0.49,25.73,96.97,0.48,18.34,29.43,65.98,11.89,48.7,0.735
9.62,26.63,28.47,3.71,48.37,94.21,0.45,57.63,51.72,57.98,22.55,56.2,0.537
12.41,22.0,31.05,0.67,45.74,97.15,0.42,56.32,47.76,63.39,22.96,61.96,0.556
12.74,26.63,28.47,3.71,48.37,94.21,0.45,57.63,51.72,57.98,22.55,56.75,0.537
11.68,26.75,21.96,0.86,47.9,98.49,0.4,64.69,56.85,58.09,20.17,63.98,0.515
10.24,26.63,28.47,3.71,48.37,94.21,0.45,57.63,51.72,57.98,22.55,54.73,0.537
4.76,26.75,21.96,0.86,47.9,98.49,0.4,64.69,56.85,58.09,20.17,41.28,0.515
2.43,12.23,66.22,0.0,19.26,99.73,0.48,15.78,25.42,67.49,15.79,37.74,0.757
3.01,13.15,64.83,0.27,19.37,98.23,0.45,16.9,27.12,67.18,15.22,44.68,0.758
2.14,13.15,64.83,0.27,19.37,98.23,0.45,16.9,27.12,67.18,15.22,37.54,0.758
1.99,13.15,64.83,0.27,19.37,98.23,0.45,16.9,27.12,67.18,15.22,36.73,0.758
6.22,16.44,40.16,0.32,39.32,98.04,0.41,39.11,42.39,61.36,19.12,48.61,0.62
11.26,26.63,28.47,3.71,48.37,94.21,0.45,57.63,51.72,57.98,22.55,57.64,0.537
18.67,26.75,21.96,0.86,47.9,98.49,0.4,64.69,56.85,58.09,20.17,62.57,0.515
10.55,26.63,28.47,3.71,48.37,94.21,0.45,57.63,51.72,57.98,22.55,53.52,0.537
5.9,20.35,37.36,1.21,43.54,94.35,0.43,39.36,42.82,65.95,16.56,56.5,0.612
8.35,22.0,31.05,0.67,45.74,97.15,0.42,56.32,47.76,63.39,22.96,50.69,0.556
6.52,16.44,40.16,0.32,39.32,98.04,0.41,39.11,42.39,61.36,19.12,46.94,0.62
5.38,20.35,37.36,1.21,43.54,94.35,0.43,39.36,42.82,65.95,16.56,46.9,0.612
7.53,26.75,21.96,0.86,47.9,98.49,0.4,64.69,56.85,58.09,20.17,46.12,0.515
1.92,14.59,59.88,0.49,25.73,96.97,0.48,18.34,29.43,65.98,11.89,40.81,0.735
4.69,15.41,55.72,0.0,29.38,98.79,0.44,22.94,31.59,66.96,16.35,51.14,0.707
3.94,15.41,55.72,0.0,29.38,98.79,0.44,22.94,31.59,66.96,16.35,42.16,0.707
5.39,15.41,55.72,0.0,29.38,98.79,0.44,22.94,31.59,66.96,16.35,54.79,0.707
1.65,13.15,64.83,0.27,19.37,98.23,0.45,16.9,27.12,67.18,15.22,46.41,0.758
6.88,15.4,42.83,0.26,34.65,96.96,0.46,39.48,40.3,63.85,17.07,48.86,0.657
2.66,14.59,59.88,0.49,25.73,96.97,0.48,18.34,29.43,65.98,11.89,44.18,0.735
7.98,26.75,21.96,0.86,47.9,98.49,0.4,64.69,56.85,58.09,20.17,53.68,0.515
3.28,18.86,44.32,0.96,35.55,90.47,0.46,36.14,40.78,61.44,17.44,41.22,0.647
3.67,15.41,55.72,0.0,29.38,98.79,0.44,22.94,31.59,66.96,16.35,43.35,0.707
4.25,12.85,76.61,0.08,13.83,99.3,0.5,10.3,17.2,71.69,11.83,44.05,0.806
2.52,13.15,64.83,0.27,19.37,98.23,0.45,16.9,27.12,67.18,15.22,44.19,0.758
8.15,20.35,37.36,1.21,43.54,94.35,0.43,39.36,42.82,65.95,16.56,45.12,0.612
2.22,14.59,59.88,0.49,25.73,96.97,0.48,18.34,29.43,65.98,11.89,47.2,0.735
14.0,31.28,14.58,11.58,45.73,3.85,0.48,70.55,61.01,53.07,16.33,62.0,0.462
3.52,17.49,52.11,1.09,28.12,93.28,0.5,28.46,34.82,63.91,14.47,50.59,0.697
17.34,10.89,64.97,0.02,16.33,98.43,0.54,14.75,25.91,68.68,11.93,64.44,0.788
8.17,24.42,33.58,2.86,34.68,89.23,0.49,43.41,49.36,55.25,17.51,64.21,0.613
14.2,31.28,14.58,11.58,45.73,3.85,0.48,70.55,61.01,53.07,16.33,59.41,0.462
11.51,25.8,22.77,10.3,50.59,35.31,0.53,67.73,53.3,64.05,22.26,65.34,0.52
8.66,10.63,46.65,0.0,27.66,93.91,0.5,40.78,41.5,63.26,17.8,51.35,0.692
14.08,27.77,20.9,11.29,36.68,64.93,0.51,61.47,60.29,51.73,16.83,66.83,0.534
9.14,14.73,33.37,0.65,24.74,98.45,0.48,44.09,49.58,58.53,10.13,55.05,0.626
4.38,10.89,64.97,0.02,16.33,98.43,0.54,14.75,25.91,68.68,11.93,44.66,0.788
10.35,29.97,18.86,6.3,57.47,78.31,0.39,69.58,54.95,68.92,24.92,66.46,0.478
12.95,29.97,18.86,6.3,57.47,78.31,0.39,69.58,54.95,68.92,24.92,61.68,0.478
7.41,27.5,29.04,3.35,46.0,85.87,0.38,53.65,50.84,56.74,18.91,56.25,0.544
8.92,25.41,23.07,1.97,49.53,93.32,0.41,62.01,52.44,64.31,23.31,63.24,0.522
14.82,29.97,18.86,6.3,57.47,78.31,0.39,69.58,54.95,68.92,24.92,69.12,0.478
9.71,19.94,30.63,0.89,46.22,93.42,0.45,53.61,47.4,68.87,21.46,54.01,0.586
7.78,19.48,38.2,0.57,38.05,95.38,0.41,44.81,42.57,66.93,18.35,47.87,0.614
4.72,19.48,38.2,0.57,38.05,95.38,0.41,44.81,42.57,66.93,18.35,43.71,0.614
7.07,19.48,38.2,0.57,38.05,95.38,0.41,44.81,42.57,66.93,18.35,47.94,0.614
4.8,19.48,38.2,0.57,38.05,95.38,0.41,44.81,42.57,66.93,18.35,48.24,0.614
9.62,34.19,29.72,2.68,42.68,92.78,0.4,57.05,48.56,69.75,21.06,52.53,0.544
6.38,19.48,38.2,0.57,38.05,95.38,0.41,44.81,42.57,66.93,18.35,50.64,0.614
5.74,19.48,38.2,0.57,38.05,95.38,0.41,44.81,42.57,66.93,18.35,50.22,0.614
10.02,27.5,29.04,3.35,46.0,85.87,0.38,53.65,50.84,56.74,18.91,57.4,0.544
8.81,25.41,23.07,1.97,49.53,93.32,0.41,62.01,52.44,64.31,23.31,59.17,0.522
8.82,21.34,32.18,3.95,43.06,96.92,0.4,48.04,49.2,60.33,20.49,53.36,0.574
8.7,21.34,32.18,3.95,43.06,96.92,0.4,48.04,49.2,60.33,20.49,49.52,0.574
8.07,25.41,23.07,1.97,49.53,93.32,0.41,62.01,52.44,64.31,23.31,61.65,0.522
7.49,19.94,30.63,0.89,46.22,93.42,0.45,53.61,47.4,68.87,21.46,52.11,0.586
5.24,19.17,46.73,1.59,28.68,94.26,0.53,30.09,36.27,66.25,12.17,46.41,0.69
16.99,17.49,52.11,1.09,28.12,93.28,0.5,28.46,34.82,63.91,14.47,61.97,0.697
19.12,29.64,19.21,14.95,41.25,47.76,0.45,62.42,63.21,43.02,12.89,64.97,0.51
15.85,27.77,20.9,11.29,36.68,64.93,0.51,61.47,60.29,51.73,16.83,61.55,0.534
17.56,27.77,20.9,11.29,36.68,64.93,0.51,61.47,60.29,51.73,16.83,63.5,0.534
18.99,24.42,33.58,2.86,34.68,89.23,0.49,43.41,49.36,55.25,17.51,57.55,0.613
11.71,27.77,20.9,11.29,36.68,64.93,0.51,61.47,60.29,51.73,16.83,63.96,0.534
17.94,29.64,19.21,14.95,41.25,47.76,0.45,62.42,63.21,43.02,12.89,70.28,0.51
9.78,24.42,33.58,2.86,34.68,89.23,0.49,43.41,49.36,55.25,17.51,56.61,0.613
9.91,24.42,33.58,2.86,34.68,89.23,0.49,43.41,49.36,55.25,17.51,53.11,0.613
11.57,18.89,23.98,2.82,18.29,97.23,0.52,48.79,57.93,50.14,5.95,50.15,0.581
14.72,29.29,19.57,5.5,31.91,84.47,0.5,59.3,58.84,52.23,7.32,55.48,0.528
16.49,32.28,21.34,8.37,39.49,74.12,0.6,63.47,64.41,39.05,7.11,59.44,0.524
17.48,28.56,22.32,5.45,41.22,91.48,0.59,67.44,63.74,40.78,13.96,56.35,0.551
11.6,15.45,36.08,7.45,40.75,75.88,0.53,54.43,48.19,59.86,18.81,56.73,0.614
3.73,12.85,76.61,0.08,13.83,99.3,0.5,10.3,17.2,71.69,11.83,44.94,0.806
20.64,29.64,19.21,14.95,41.25,47.76,0.45,62.42,63.21,43.02,12.89,75.27,0.51
10.59,23.34,27.58,2.72,42.76,76.87,0.47,61.8,51.59,61.75,19.55,51.6,0.556
10.71,24.42,33.58,2.86,34.68,89.23,0.49,43.41,49.36,55.25,17.51,46.78,0.613
9.83,24.42,33.58,2.86,34.68,89.23,0.49,43.41,49.36,55.25,17.51,59.45,0.613
7.15,19.17,46.73,1.59,28.68,94.26,0.53,30.09,36.27,66.25,12.17,50.6,0.69
11.66,24.42,33.58,2.86,34.68,89.23,0.49,43.41,49.36,55.25,17.51,56.01,0.613
5.97,10.9,66.19,0.03,20.08,99.79,0.48,14.95,26.15,66.16,12.39,49.63,0.76
7.35,19.17,46.73,1.59,28.68,94.26,0.53,30.09,36.27,66.25,12.17,53.96,0.69
9.68,24.42,33.58,2.86,34.68,89.23,0.49,43.41,49.36,55.25,17.51,49.46,0.613
12.13,28.91,26.14,6.35,41.11,87.55,0.47,54.46,55.52,50.6,14.06,59.98,0.545
5.66,19.17,46.73,1.59,28.68,94.26,0.53,30.09,36.27,66.25,12.17,44.71,0.69
5.8,10.89,64.97,0.02,16.33,98.43,0.54,14.75,25.91,68.68,11.93,49.1,0.788
10.45,24.42,33.58,2.86,34.68,89.23,0.49,43.41,49.36,55.25,17.51,52.0,0.613
11.13,10.63,46.65,0.0,27.66,93.91,0.5,40.78,41.5,63.26,17.8,53.61,0.692
15.67,29.64,19.21,14.95,41.25,47.76,0.45,62.42,63.21,43.02,12.89,54.38,0.51
16.02,25.31,22.66,12.7,46.77,64.39,0.42,61.56,56.86,57.71,20.35,62.32,0.519
12.1,23.34,27.58,2.72,42.76,76.87,0.47,61.8,51.59,61.75,19.55,54.55,0.556
8.34,25.32,40.96,2.52,32.32,94.68,0.5,42.88,42.09,65.17,17.71,52.35,0.651
1.67,5.16,90.48,0.28,2.73,99.53,0.5,1.45,5.03,70.12,8.85,32.96,0.913
7.51,12.85,76.61,0.08,13.83,99.3,0.5,10.3,17.2,71.69,11.83,43.21,0.806
7.9,10.52,80.79,0.16,14.79,99.0,0.51,11.5,11.72,74.25,10.55,42.48,0.834
9.01,24.42,33.58,2.86,34.68,89.23,0.49,43.41,49.36,55.25,17.51,52.66,0.613
7.07,10.63,46.65,0.0,27.66,93.91,0.5,40.78,41.5,63.26,17.8,44.25,0.692
10.67,11.73,69.11,0.12,18.29,99.65,0.45,13.73,22.98,69.2,13.67,51.25,0.751
8.01,18.66,37.69,0.42,39.07,98.91,0.48,42.79,41.76,68.13,20.11,52.63,0.626
2.15,20.49,57.4,0.07,22.11,97.91,0.58,19.89,29.52,73.32,14.88,42.1,0.744
6.13,25.12,37.24,1.6,33.38,97.69,0.48,44.54,44.95,70.09,19.39,47.85,0.626
